% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
171	2	3	2	0	28	749	0	1	1
171	2	1	3	0	28	749	0	1	1
171	3	2	1	0	28	749	0	1	2
171	3	3	2	0	28	749	0	1	2
171	3	1	3	0	28	749	0	1	2
172	1	1	3	0	28	749	0	1	0
172	1	2	1	0	28	749	0	1	0
172	1	3	2	0	28	749	0	1	0
172	2	2	1	0	28	749	0	1	1
172	2	3	2	0	28	749	0	1	1
172	2	1	3	0	28	749	0	1	1
172	3	2	1	0	28	749	0	1	2
172	3	3	2	0	28	749	0	1	2
172	3	1	3	0	28	749	0	1	2
173	1	1	3	0	28	749	0	1	0
173	1	2	1	0	28	749	0	1	0
173	1	3	2	0	28	749	0	1	0
173	2	2	1	0	28	749	0	1	1
173	2	3	2	0	28	749	0	1	1
173	2	1	3	0	28	749	0	1	1
173	3	2	1	0	28	749	0	1	2
173	3	3	2	0	28	749	0	1	2
173	3	1	3	0	28	749	0	1	2
174	1	1	3	0	28	749	0	1	0
174	1	2	1	0	28	749	0	1	0
174	1	3	2	0	28	749	0	1	0
174	2	2	1	0	28	749	0	1	1
174	2	3	2	0	28	749	0	1	1
174	2	1	3	0	28	749	0	1	1
174	3	2	1	0	28	749	0	1	2
174	3	3	2	0	28	749	0	1	2
174	3	1	3	0	28	749	0	1	2
175	1	1	3	0	28	749	0	1	0
175	1	2	1	0	28	749	0	1	0
175	1	3	2	0	28	749	0	1	0
175	2	2	1	0	28	749	0	1	1
175	2	3	2	0	28	749	0	1	1
175	2	1	3	0	28	749	0	1	1
175	3	2	1	0	28	749	0	1	2
175	3	3	2	0	28	749	0	1	2
175	3	1	3	0	28	749	0	1	2
176	1	1	3	0	28	749	0	1	0
176	1	2	1	0	28	749	0	1	0
176	1	3	2	0	28	749	0	1	0
176	2	2	1	0	28	749	0	1	1
176	2	3	2	0	28	749	0	1	1
176	2	1	3	0	28	749	0	1	1
176	3	2	1	0	28	749	0	1	2
176	3	3	2	0	28	749	0	1	2
176	3	1	3	0	28	749	0	1	2
177	1	1	3	0	28	749	0	1	0
177	1	2	1	0	28	749	0	1	0
177	1	3	2	0	28	749	0	1	0
